Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Turkey,TUR,83.36,91.97,134.71,153.66,163.01,165.42,165.48,163.74,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Turkmenistan,TKM,..,77.04,123.41,130.18,136.73,133.26,115.16,117.55,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Tuvalu,TUV,41.91,95.66,105.05,105.17,105.29,105.41,105.53,105.65,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Uganda,UGA,50.26,67.01,121.91,123.89,127.76,126.61,129.96,131.64,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Ukraine,UKR,..,93.54,99.67,100.7,104.91,103.21,99.22,97.46,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,United Arab Emirates,ARE,42.89,79.68,145.34,152.7,156.89,161.74,159.82,149.9,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,United Kingdom,GBR,107.37,102.05,103.93,102.66,103.4,106.57,107.8,106.58,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,United States,USA,78.8,97.47,106.85,106.81,107.87,108.75,108.91,109.7,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Uruguay,URY,70.08,88.96,103.74,106.12,105,103.57,103.18,100.83,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Uzbekistan,UZB,..,82.92,131.75,132.56,139.56,140.25,147.47,134.03,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Vanuatu,VUT,87.3,109.82,109.74,111.62,112.12,111.73,111.29,111.26,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,"Venezuela, RB",VEN,71.61,97,133.78,130.71,131.93,132.91,134.74,129.8,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Vietnam,VNM,38.53,68.01,142.06,145.44,147.65,148.69,150.34,151.37,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Virgin Islands (U.S.),VIR,89.1,91.86,117.21,107.56,106.64,109.13,107.21,107.17,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,West Bank and Gaza,PSE,..,90.73,84.15,84.4,80.42,89.93,88.78,88.84,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,"Yemen, Rep.",YEM,50.6,81.25,150.4,157.26,159.08,160.8,157.77,157.93,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Zambia,ZMB,63.69,91.67,168.29,179.99,197.26,196.97,201.68,200.58,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Zimbabwe,ZWE,75.83,96.86,102.63,104.89,105.35,106.13,103.9,106.25,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Arab World,ARB,59.1403579411201,86.2461830925212,119.481535856394,106.525665280949,107.117923697269,108.470262777275,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Caribbean small states,CSS,74.3763937158109,83.6033442898134,105.425801202975,109.590873857412,110.095192836776,109.50757744934,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Central Europe and the Baltics,CEB,..,98.4929812123076,97.8544937276662,97.5324955929494,96.6334528152573,96.7676443028347,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Early-demographic dividend,EAR,62.8652923629285,85.1510785351893,123.342404425668,126.849368757012,130.322050681392,133.133291096723,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,East Asia & Pacific,EAS,50.6368049076835,86.2342407220729,117.866632449862,122.405448381326,124.461868936362,125.338295770418,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,East Asia & Pacific (excluding high income),EAP,42.8222833514687,83.3450673855508,121.799813338828,126.603281801265,128.551294734782,129.290362705786,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,East Asia & Pacific (IDA & IBRD countries),TEA,42.5922324514908,83.3659827653677,121.878384452652,126.695962985312,128.652008393406,129.395279344829,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Euro area,EMU,99.0656091529798,99.7857781799824,104.158043596721,102.979196931446,103.174905670586,103.117894256382,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Europe & Central Asia,ECS,..,97.5711603080307,107.47220386237,108.024473392233,108.973217634994,109.278064241089,..,..,..,..,..,..
